epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.47,0.72461,1.61213,1.15204,0.83119,0.82664,0.98868,0.83856,0.60928,1.30897,1.08728,0.000548158,0.000548158,0.000548158
2,752.243,0.69179,0.93605,1.1027,0.84802,0.95765,0.96928,0.77502,0.93068,1.51834,1.3306,0.00108197,0.00108197,0.00108197
3,1107.54,0.67933,0.82483,1.10168,0.94403,0.75062,0.90803,0.71309,0.72365,1.02721,1.19056,0.00159378,0.00159378,0.00159378
4,1464.49,0.67907,0.7312,1.09529,0.99192,0.98156,0.9933,0.87093,0.58364,0.73688,1.05606,0.00156798,0.00156798,0.00156798
5,1819.56,0.65388,0.6705,1.0787,0.98815,0.95166,0.99084,0.85297,0.67167,0.71268,1.09972,0.00153497,0.00153497,0.00153497
6,2175.43,0.62155,0.61171,1.06072,0.88561,0.92344,0.95421,0.79802,0.72659,0.99575,1.16021,0.00150197,0.00150197,0.00150197
7,2531.27,0.60422,0.56008,1.04608,0.96534,0.9718,0.9914,0.88579,0.5185,0.54145,1.03761,0.00146896,0.00146896,0.00146896
8,2886.82,0.5808,0.52589,1.03649,0.9746,0.93805,0.9927,0.87532,0.5502,0.55816,0.98442,0.00143595,0.00143595,0.00143595
9,3246.48,0.56615,0.49749,1.02803,0.99366,0.99307,0.9948,0.88981,0.50892,0.45121,1.00855,0.00140295,0.00140295,0.00140295
10,3597.28,0.56236,0.48024,1.0353,0.99728,0.9802,0.99403,0.88597,0.51012,0.44059,0.97397,0.00136994,0.00136994,0.00136994
11,3946.08,0.52873,0.45137,1.00416,0.96948,0.97611,0.99383,0.92779,0.39258,0.38944,0.87975,0.00133693,0.00133693,0.00133693
12,4296.6,0.51684,0.43348,0.99955,0.95453,0.94231,0.99315,0.91426,0.43099,0.43323,0.9517,0.00130393,0.00130393,0.00130393
13,4648.26,0.5158,0.42475,0.99672,0.99739,0.99558,0.995,0.93465,0.38208,0.34479,0.89912,0.00127092,0.00127092,0.00127092
14,5001.29,0.50958,0.4128,0.99885,0.99074,0.98591,0.99473,0.92864,0.3668,0.38693,0.89121,0.00123791,0.00123791,0.00123791
15,5355.17,0.49486,0.3954,0.98926,0.94176,0.9129,0.98613,0.91239,0.3883,0.41658,0.90025,0.00120491,0.00120491,0.00120491
16,5706.45,0.50118,0.39722,0.98526,0.9374,0.96631,0.99375,0.93898,0.33451,0.38112,0.86083,0.0011719,0.0011719,0.0011719
17,6058.62,0.48477,0.37253,0.98595,0.94995,0.92432,0.99294,0.92552,0.48821,0.49033,0.94042,0.00113889,0.00113889,0.00113889
18,6411.75,0.47579,0.36938,0.97,0.99532,0.99351,0.99495,0.92849,0.36732,0.33113,0.87278,0.00110589,0.00110589,0.00110589
19,6762.53,0.45118,0.35617,0.96441,0.98654,0.99779,0.99496,0.9324,0.38993,0.33445,0.89337,0.00107288,0.00107288,0.00107288
20,7113.65,0.46746,0.36531,0.96739,0.98962,0.99718,0.995,0.91336,0.39703,0.29678,0.88932,0.00103987,0.00103987,0.00103987
21,7466.41,0.44702,0.35028,0.95428,0.99787,0.99998,0.995,0.94628,0.31994,0.28783,0.8509,0.00100687,0.00100687,0.00100687
22,7822.72,0.43855,0.34904,0.95164,0.99535,0.99796,0.995,0.93754,0.35096,0.25047,0.85334,0.000973861,0.000973861,0.000973861
23,8171.61,0.43196,0.34003,0.95394,0.99277,0.99065,0.99464,0.93785,0.35498,0.28939,0.87454,0.000940855,0.000940855,0.000940855
24,8522.38,0.43084,0.33472,0.95337,0.99829,0.99899,0.995,0.93562,0.35426,0.27289,0.87178,0.000907848,0.000907848,0.000907848
25,8872.42,0.42809,0.32859,0.95033,0.97753,0.99616,0.99468,0.93182,0.36,0.28058,0.88965,0.000874842,0.000874842,0.000874842
26,9224.21,0.41955,0.31386,0.9519,0.95376,0.97017,0.99463,0.94177,0.32666,0.34209,0.85928,0.000841835,0.000841835,0.000841835
27,9574.01,0.40848,0.31073,0.94756,0.98341,0.9979,0.995,0.94075,0.38081,0.28364,0.89464,0.000808828,0.000808828,0.000808828
28,9926.06,0.40154,0.30884,0.94053,0.99325,0.99072,0.995,0.95528,0.35235,0.25738,0.87006,0.000775822,0.000775822,0.000775822
29,10279.2,0.39964,0.30361,0.93789,0.99687,0.99963,0.995,0.94341,0.32745,0.23806,0.85463,0.000742815,0.000742815,0.000742815
30,10631.3,0.39019,0.29272,0.927,0.99633,0.99925,0.995,0.94039,0.32459,0.21908,0.84247,0.000709809,0.000709809,0.000709809
31,10982,0.37498,0.28476,0.92656,0.99432,0.99845,0.995,0.96029,0.29067,0.2226,0.83264,0.000676802,0.000676802,0.000676802
32,11332.7,0.37469,0.28634,0.92755,0.99952,1,0.995,0.96085,0.30138,0.22474,0.83795,0.000643795,0.000643795,0.000643795
33,11683.8,0.38966,0.28321,0.93425,0.99324,1,0.995,0.95986,0.28159,0.217,0.81829,0.000610789,0.000610789,0.000610789
34,12032.5,0.37462,0.27581,0.92615,0.99078,0.99458,0.995,0.9532,0.28942,0.23181,0.83201,0.000577782,0.000577782,0.000577782
35,12383.7,0.35854,0.26837,0.91473,1,0.99756,0.995,0.95096,0.31406,0.22011,0.84972,0.000544776,0.000544776,0.000544776
36,12733.7,0.35386,0.25756,0.91465,0.99935,0.99632,0.995,0.96724,0.30767,0.22835,0.82575,0.000511769,0.000511769,0.000511769
37,13087,0.34481,0.25439,0.91748,0.99637,0.99879,0.995,0.95143,0.30253,0.20298,0.83408,0.000478762,0.000478762,0.000478762
38,13439.8,0.34348,0.25185,0.90865,0.99875,0.99623,0.995,0.96319,0.29272,0.2011,0.82736,0.000445756,0.000445756,0.000445756
39,13792.7,0.34314,0.25504,0.91229,0.99483,0.99823,0.995,0.95832,0.27233,0.19156,0.81308,0.000412749,0.000412749,0.000412749
40,14144.6,0.33636,0.25188,0.90671,0.99681,0.99727,0.995,0.97063,0.259,0.19963,0.80955,0.000379743,0.000379743,0.000379743
41,14504.9,0.29991,0.22898,0.86645,0.99864,0.99933,0.995,0.95884,0.29744,0.19243,0.8363,0.000346736,0.000346736,0.000346736
42,14858.9,0.2893,0.20966,0.86182,0.99866,0.99858,0.995,0.96381,0.29664,0.20248,0.83044,0.000313729,0.000313729,0.000313729
43,15209.5,0.28216,0.20488,0.85973,0.9991,0.99944,0.995,0.95498,0.31213,0.20344,0.83758,0.000280723,0.000280723,0.000280723
44,15557.3,0.27635,0.19941,0.85597,0.99853,0.99857,0.995,0.96236,0.28515,0.19846,0.82481,0.000247716,0.000247716,0.000247716
45,15906.6,0.26938,0.19807,0.8434,0.99916,0.99815,0.995,0.97191,0.27848,0.18354,0.812,0.00021471,0.00021471,0.00021471
46,16259.3,0.26373,0.19065,0.84059,0.99881,0.99843,0.995,0.9617,0.28818,0.18263,0.82526,0.000181703,0.000181703,0.000181703
47,16606.9,0.25899,0.18117,0.8421,0.99804,0.99824,0.995,0.96921,0.2697,0.18381,0.81307,0.000148696,0.000148696,0.000148696
48,16953.9,0.25001,0.17894,0.83797,0.99855,1,0.995,0.96535,0.27484,0.18135,0.82166,0.00011569,0.00011569,0.00011569
49,17304.8,0.2456,0.17306,0.83607,0.99752,1,0.995,0.96666,0.26408,0.18163,0.81003,8.26832e-05,8.26832e-05,8.26832e-05
50,17651.1,0.23917,0.16958,0.83461,0.9972,1,0.995,0.96896,0.26194,0.17716,0.80569,4.96766e-05,4.96766e-05,4.96766e-05
