epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.507,0.75071,1.55691,1.24614,0.74919,0.74877,0.81567,0.4659,0.97537,2.25902,1.66352,0.000656716,0.000656716,0.000656716
2,694.669,0.77843,1.09829,1.242,0.72407,0.50415,0.59471,0.35946,1.43556,1.9433,1.8531,0.00129718,0.00129718,0.00129718
3,1035.48,0.85933,1.03233,1.2849,0.4081,0.67929,0.48151,0.24285,1.43257,2.58631,1.94037,0.00191124,0.00191124,0.00191124
4,1381.11,0.86229,0.95483,1.28004,0.47659,0.55665,0.45585,0.24946,1.43383,2.48265,1.99591,0.0018812,0.0018812,0.0018812
5,1723.18,0.83172,0.86584,1.25483,0.62549,0.55172,0.61155,0.41445,1.33295,1.90667,1.65447,0.0018416,0.0018416,0.0018416
6,2065.25,0.76582,0.7712,1.24186,0.91523,0.92611,0.94166,0.63014,1.09085,0.92884,1.68828,0.001802,0.001802,0.001802
7,2404.14,0.75813,0.75599,1.22068,0.66884,0.63054,0.72106,0.49691,1.01884,1.39606,1.52208,0.0017624,0.0017624,0.0017624
8,2776.89,0.74475,0.73355,1.21666,0.81039,0.87192,0.91386,0.63726,1.0366,1.02807,1.51473,0.0017228,0.0017228,0.0017228
9,3117.2,0.70194,0.66538,1.20198,0.90703,0.97044,0.97049,0.71759,0.9361,0.78004,1.39591,0.0016832,0.0016832,0.0016832
10,3456.66,0.69432,0.6599,1.17895,0.91246,0.867,0.92888,0.70304,0.91742,0.81271,1.44458,0.0016436,0.0016436,0.0016436
11,3797.29,0.68151,0.62394,1.16757,0.78807,0.77833,0.87891,0.67223,0.94722,0.9818,1.45202,0.001604,0.001604,0.001604
12,4136.64,0.66828,0.62617,1.15466,0.858,0.90148,0.94664,0.72554,0.84948,0.78767,1.34898,0.0015644,0.0015644,0.0015644
13,4477.02,0.63686,0.57766,1.14041,0.87097,0.86207,0.92852,0.6673,1.03838,0.8342,1.48429,0.0015248,0.0015248,0.0015248
14,4817.61,0.63261,0.56602,1.13707,0.86035,0.94077,0.94595,0.74984,0.74839,0.72982,1.26608,0.0014852,0.0014852,0.0014852
15,5158.43,0.58219,0.53663,1.09988,0.84041,0.93388,0.94508,0.72373,0.84806,0.6752,1.31591,0.0014456,0.0014456,0.0014456
16,5498.15,0.59127,0.53526,1.10039,0.91826,0.94074,0.96347,0.7481,0.87398,0.62648,1.37524,0.001406,0.001406,0.001406
17,5838.07,0.59245,0.53163,1.111,0.82364,0.85714,0.91946,0.6953,0.86789,0.74005,1.37359,0.0013664,0.0013664,0.0013664
18,6186.33,0.58544,0.52117,1.11103,0.95622,0.92611,0.9612,0.79099,0.75663,0.5324,1.24204,0.0013268,0.0013268,0.0013268
19,6525.51,0.58692,0.51359,1.10748,0.93042,0.92225,0.9537,0.77504,0.75908,0.6437,1.19902,0.0012872,0.0012872,0.0012872
20,6865.83,0.55913,0.50148,1.08263,0.94249,0.93103,0.95917,0.78671,0.71142,0.62056,1.2204,0.0012476,0.0012476,0.0012476
21,7206.35,0.55234,0.4822,1.08953,0.84312,0.90015,0.90779,0.71986,0.84126,0.75484,1.33005,0.001208,0.001208,0.001208
22,7547.22,0.55236,0.4582,1.08463,0.8849,0.92611,0.94858,0.727,0.89568,0.65745,1.42017,0.0011684,0.0011684,0.0011684
23,7886.49,0.52533,0.46318,1.06057,0.85999,0.90776,0.93311,0.75312,0.78482,0.71271,1.27077,0.0011288,0.0011288,0.0011288
